Date,Campaign Name,Campaign ID,Ad Name,Ad ID,Custom Id,Title,Description,Cta,Url,Thumbnail Url,Video Url,Poster Image,Clicks,Served Ads,Impressions,Spent,Value,ROAS,ROAS (Clicks),ROAS (Views),CTR,CPM,Actual CPC,CPA,CPA (Clicks),CPA (Views),Conversions,Conversions (Clicks),Conversions (Views),Conversion Rate,Conversion Rate (Clicks),Conversion Rate (Views),Unnamed: 33
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 192,4120857241,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",LEARN_MORE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI%0A,https://cdn.taboola.com/libtrc/static/thumbnails/3819e95dda8a3f472a292a06398df01e.png,,,10,1835,357,1.76,0,0,0,0,2.8,4.94,0.18,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 162,4100121590,,Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/02433736b68a86f29736a29225d11c13.png,,,10,982,165,1.58,0,0,0,0,6.06,9.55,0.16,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 162,4100123004,,Britons born before 1970 may try these innovative hearing aids for Free (Read more),"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/02433736b68a86f29736a29225d11c13.png,,,8,1535,297,1.36,0,0,0,0,2.69,4.58,0.17,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_CLIP_Image 191,4120857956,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",LEARN_MORE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,https://cdn.taboola.com/libtrc/static/thumbnails/f809ff94cdc88ee4caba47cec67cd542.jpg,https://cdn.taboola.com/libtrc/static/video/v1748526571/c2lwzb3v1casinbjllfz.mp4!-#@800x450,,8,1887,341,1.33,0,0,0,0,2.35,3.89,0.17,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_CLIP_Image 167,4116151291,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,https://cdn.taboola.com/libtrc/static/thumbnails/5cdfd6caf40f0c720954d2c80611f7f5.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232453/dttn6j0smwc420becuq8.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/a5e988fee500f2e6821ba7cd2f3147dc.jpg,6,1195,284,1.2,0,0,0,0,2.11,4.23,0.2,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 160,4100119242,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/f55ef3c50872680068035be6f967235b.png,,,8,1187,226,1.07,0,0,0,0,3.54,4.73,0.13,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 176,4116151275,,"If you are over 50, you might be eligible for these hearing aids ! (Find out More)","Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/39987e3906b809fef769f4a7015eed42.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232513/gih1ds51nwqmslb6fwxv.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/32adb401c7c1bdfa52c51a3f4d4676a2.jpg,4,1157,312,1.01,0,0,0,0,1.28,3.24,0.25,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_CLIP_Image 118,4100122456,,Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI%0A,http://cdn.taboola.com/libtrc/static/thumbnails/ce723f7cbdd2f21bacc7a41a89b0bf67.jpg,https://cdn.taboola.com/libtrc/static/video/v1741973699/kdj3eipgruhegfmy0nxv.mp4,http://cdn.taboola.com/libtrc/static/thumbnails/3c03d6d65f7749beab615d84da8c4fae.jpg,5,1080,200,0.83,0,0,0,0,2.5,4.16,0.17,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 162,4100123005,,Britons born before 1970 may try these innovative hearing aids for Free (Read more),"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/02433736b68a86f29736a29225d11c13.png,,,5,7386,1844,0.81,0,0,0,0,0.27,0.44,0.16,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_CLIP_ Image 189,4120857957,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",LEARN_MORE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,https://cdn.taboola.com/libtrc/static/thumbnails/e263a74a5ff06ba6b2897192bec1be3d.jpg,https://cdn.taboola.com/libtrc/static/video/v1748526551/qy37pkmvbfn8xet9yold.mp4!-#@800x450,,3,428,96,0.61,0,0,0,0,3.13,6.41,0.2,0.31,0.31,0,2,2,0,66.67,66.67,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 159 1,4100119234,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/e144d1f2246a9df719351d5a545e968b.png,,,3,1235,225,0.36,0,0,0,0,1.33,1.62,0.12,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 137_Title 15,4066592681,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/b8f7cf62189d6c9743999aed0da53571.png,,,145,158201,29135,32.16,0,0,0,0,0.5,1.1,0.22,32.16,32.16,0,1,1,0,0.69,0.69,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 159 1,4100119243,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/e144d1f2246a9df719351d5a545e968b.png,,,121,93289,18167,27.5,0,0,0,0,0.67,1.51,0.23,27.5,0,27.5,1,0,1,0.83,0,0.83,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 118_Title 15,3976373554,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/cdf7abe62ec44d244d367146dda14b84.jpg,https://cdn.taboola.com/libtrc/static/video/v1722590066/yz1yeanqtcereiug4fav.mp4,http://cdn.taboola.com/libtrc/static/thumbnails/27d08277800f5744a0eb88d6d00c6f2e.jpg,49,43068,9107,10.88,0,0,0,0,0.54,1.19,0.22,0,0,0,0,0,0,0,0,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 167,4116151272,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/5cdfd6caf40f0c720954d2c80611f7f5.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232453/dttn6j0smwc420becuq8.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/a5e988fee500f2e6821ba7cd2f3147dc.jpg,44,33520,7827,9.12,0,0,0,0,0.56,1.17,0.21,9.12,9.12,0,1,1,0,2.27,2.27,0,
8/27/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 191,4120857960,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",LEARN_MORE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,https://cdn.taboola.com/libtrc/static/thumbnails/f809ff94cdc88ee4caba47cec67cd542.jpg,https://cdn.taboola.com/libtrc/static/video/v1748526571/c2lwzb3v1casinbjllfz.mp4!-#@800x450,,35,26965,5918,8.08,0,0,0,0,0.59,1.37,0.23,8.08,8.08,0,1,1,0,2.86,2.86,0,
